"","account_id","opening_date","statement_frequency","district_name","credit_cards","loan","loan_amount","loan_payment","loan_term","loan_status","loan_default","max_withdrawal","min_withdrawal","cc_payment","max_balance","min_balance"
"31",33,"1993-08-26","monthly","Domazlice",0,"F","NA","NA","NA","NA","NA",63100,15,131,123696,600
"32",35,"1993-07-07","monthly","Prerov",1,"F","NA","NA","NA","NA","NA",14950,15,127,32520,600
"33",36,"1993-07-01","monthly","Hl.m. Praha",1,"F","NA","NA","NA","NA","NA",41120,15,134,85055,500
"34",37,"1997-08-18","monthly","Strakonice",0,"T","318480","5308","60","current","TRUE",49437,0,36,104762,-1011
"35",39,"1993-09-22","monthly","Liberec",0,"F","NA","NA","NA","NA","NA",7300,15,124,36322,1100
"36",40,"1993-10-25","monthly","Zlin",0,"F","NA","NA","NA","NA","NA",13000,15,133,41560,700
"37",41,"1997-08-02","monthly","Olomouc",0,"F","NA","NA","NA","NA","NA",25938,15,36,100992,800
"38",42,"1996-08-16","monthly","Most",0,"F","NA","NA","NA","NA","NA",13659,15,63,45322,800
"39",43,"1994-06-12","monthly","Liberec",0,"F","NA","NA","NA","NA","NA",38560,15,112,99572,1100
"40",44,"1993-05-10","monthly","Ceska Lipa",0,"F","NA","NA","NA","NA","NA",11350,15,131,29482,400
"41",45,"1997-09-02","monthly","Zlin",0,"F","NA","NA","NA","NA","NA",25455,5,41,52970,300
"42",47,"1993-08-08","monthly","Jicin",1,"F","NA","NA","NA","NA","NA",63300,9,133,108509,300
"43",48,"1996-11-17","monthly","Tabor",0,"F","NA","NA","NA","NA","NA",34221,15,52,72803,700
"44",49,"1997-04-06","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",4654,13,43,24004,300
"45",50,"1994-05-06","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",24195,15,117,90088,900
"46",51,"1996-05-11","monthly","Bruntal",1,"F","NA","NA","NA","NA","NA",30950,15,63,106203,800
"47",52,"1997-01-29","monthly","Jindrichuv Hradec",0,"F","NA","NA","NA","NA","NA",42300,4,48,83077,900
"48",53,"1995-06-07","monthly","Vsetin",0,"F","NA","NA","NA","NA","NA",4277,15,87,27519,700
"49",54,"1995-05-02","monthly","Kladno",1,"F","NA","NA","NA","NA","NA",8070,12,89,29756,1000
"50",55,"1996-02-19","monthly","Strakonice",0,"F","NA","NA","NA","NA","NA",4629,15,65,23445,300
"51",56,"1994-05-16","monthly","Svitavy",0,"F","NA","NA","NA","NA","NA",29600,15,118,78757,900
"52",57,"1995-05-21","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",31962,15,87,77726,700
"53",58,"1996-08-23","monthly","Rokycany",0,"F","NA","NA","NA","NA","NA",14250,1,54,28954,-2204
"54",59,"1994-03-27","monthly","Hradec Kralove",0,"F","NA","NA","NA","NA","NA",22880,15,123,89720,600
"55",61,"1993-12-11","monthly","Karvina",0,"F","NA","NA","NA","NA","NA",5850,15,117,31765,700
"56",62,"1993-03-28","monthly","Pardubice",0,"F","NA","NA","NA","NA","NA",7600,15,135,36366,1100
"57",63,"1996-11-16","monthly","Domazlice",0,"F","NA","NA","NA","NA","NA",11650,15,47,37303,600
"58",64,"1997-03-11","monthly","Zlin",0,"F","NA","NA","NA","NA","NA",34850,59,30,79559,200
"59",65,"1996-10-29","monthly","Liberec",0,"F","NA","NA","NA","NA","NA",36885,10,53,85379,600
"60",67,"1994-10-19","monthly","Jindrichuv Hradec",0,"T","165960","6915","24","expired","FALSE",62235,15,102,134939,700
"61",69,"1996-01-12","monthly","Zlin",0,"F","NA","NA","NA","NA","NA",43725,6,123,71708,600
"62",70,"1995-02-18","monthly","Mlada Boleslav",1,"F","NA","NA","NA","NA","NA",20320,15,101,60184,500
"63",71,"1994-03-05","monthly","Hl.m. Praha",1,"F","NA","NA","NA","NA","NA",39520,15,118,94860,700
"64",73,"1993-11-08","monthly","Olomouc",0,"F","NA","NA","NA","NA","NA",44160,15,128,89175,400
"65",75,"1995-08-13","monthly","Hl.m. Praha",1,"F","NA","NA","NA","NA","NA",20300,15,82,49848,700
"66",76,"1996-05-16","monthly","Usti nad Orlici",0,"F","NA","NA","NA","NA","NA",22400,15,73,49609,200
"67",77,"1996-11-19","monthly","Vyskov",0,"F","NA","NA","NA","NA","NA",36200,15,52,56325,400
"68",78,"1993-07-07","monthly","Ostrava - mesto",1,"F","NA","NA","NA","NA","NA",26217,15,137,78733,400
"69",79,"1996-11-29","monthly","Beroun",0,"F","NA","NA","NA","NA","NA",4182,15,47,27474,600
"70",80,"1995-09-27","monthly","Hradec Kralove",1,"F","NA","NA","NA","NA","NA",5250,3,75,28082,900
"71",81,"1996-07-18","monthly","Ostrava - mesto",0,"F","NA","NA","NA","NA","NA",9300,15,74,39080,1000
"72",82,"1994-05-03","monthly","Plzen - mesto",0,"F","NA","NA","NA","NA","NA",61100,15,144,161574,300
"73",83,"1993-04-16","monthly","Plzen - mesto",0,"F","NA","NA","NA","NA","NA",14080,15,147,42435,500
"74",85,"1997-03-23","monthly","Frydek - Mistek",0,"F","NA","NA","NA","NA","NA",8945,15,54,59467,400
"75",86,"1993-03-07","monthly","Brno - mesto",0,"F","NA","NA","NA","NA","NA",8880,11,141,28700,800
"76",88,"1996-07-03","monthly","Tachov",0,"F","NA","NA","NA","NA","NA",3403,13,61,27174,300
"77",89,"1997-09-25","monthly","Frydek - Mistek",0,"F","NA","NA","NA","NA","NA",12000,15,33,39075,600
"78",90,"1994-07-13","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",36459,15,110,74107,500
"79",91,"1996-11-06","monthly","Pelhrimov",0,"F","NA","NA","NA","NA","NA",45770,1,42,77111,-4188
"80",93,"1996-06-12","monthly","Benesov",0,"F","NA","NA","NA","NA","NA",24400,15,66,38377,500
"81",95,"1995-03-30","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",35890,7,92,97808,200
"82",96,"1993-02-18","monthly","Frydek - Mistek",0,"F","NA","NA","NA","NA","NA",67500,15,146,156580,1100
"83",97,"1996-05-05","monthly","Ostrava - mesto",0,"T","102876","8573","12","expired","FALSE",26892,3,67,67288,900
"84",98,"1997-05-02","monthly","Brno - venkov",0,"F","NA","NA","NA","NA","NA",7700,15,41,25586,1100
"85",99,"1995-06-27","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",64900,7,93,122885,600
"86",100,"1993-12-28","monthly","Usti nad Labem",0,"F","NA","NA","NA","NA","NA",35040,12,145,84377,600
"87",101,"1996-04-16","monthly","Jablonec n. Nisou",0,"F","NA","NA","NA","NA","NA",46240,15,71,81423,1000
"88",102,"1993-10-16","monthly","Praha - zapad",1,"F","NA","NA","NA","NA","NA",48218,0,118,96777,-7104
"89",103,"1996-03-10","monthly","Chrudim",1,"T","265320","7370","36","current","TRUE",62700,4,84,124758,-1140
"90",104,"1993-04-15","monthly","Litomerice",1,"F","NA","NA","NA","NA","NA",8700,15,133,31741,500
"91",105,"1997-07-10","monthly","Tabor",0,"T","352704","7348","48","current","FALSE",49101,15,30,74694,800
"92",106,"1994-11-27","monthly","Vyskov",0,"F","NA","NA","NA","NA","NA",26648,15,99,76991,500
"93",107,"1993-11-05","monthly","Zlin",0,"F","NA","NA","NA","NA","NA",10600,15,152,50612,1000
"94",108,"1995-03-10","monthly","Blansko",0,"F","NA","NA","NA","NA","NA",34720,15,94,88609,800
"95",109,"1997-04-20","monthly","Blansko",0,"F","NA","NA","NA","NA","NA",16920,15,70,53624,1100
"96",110,"1996-07-17","monthly","Liberec",0,"T","162576","4516","36","current","FALSE",44480,15,61,79652,900
"97",112,"1993-03-12","monthly","Kutna Hora",0,"F","NA","NA","NA","NA","NA",38500,15,141,52895,200
"98",113,"1996-07-22","monthly","Brno - venkov",1,"F","NA","NA","NA","NA","NA",6800,15,55,32697,600
"99",114,"1997-03-14","monthly","Prostejov",1,"F","NA","NA","NA","NA","NA",6000,15,39,27332,500
"100",115,"1993-03-19","monthly","Frydek - Mistek",0,"F","NA","NA","NA","NA","NA",11498,15,158,52047,800
"101",116,"1996-03-21","monthly","Mlada Boleslav",1,"F","NA","NA","NA","NA","NA",34685,15,68,77466,800
"102",117,"1993-09-05","monthly","Tachov",1,"F","NA","NA","NA","NA","NA",11200,15,129,32382,900
"103",118,"1997-09-18","monthly","Frydek - Mistek",1,"F","NA","NA","NA","NA","NA",10900,15,37,40532,600
"104",119,"1993-05-25","monthly","Plzen - jih",0,"F","NA","NA","NA","NA","NA",32288,15,135,70508,800
"105",121,"1997-10-11","monthly","Brno - venkov",0,"F","NA","NA","NA","NA","NA",13100,9,39,37504,200
"106",122,"1996-10-30","monthly","Tachov",0,"F","NA","NA","NA","NA","NA",33903,6,53,86062,900
"107",123,"1993-03-13","monthly","Tabor",1,"F","NA","NA","NA","NA","NA",4843,15,135,27494,200
"108",124,"1997-12-28","monthly","Brno - venkov",0,"F","NA","NA","NA","NA","NA",10600,10,29,26468,800
"109",126,"1993-10-23","monthly","Kolin",0,"F","NA","NA","NA","NA","NA",49750,15,140,118219,200
"110",127,"1994-02-02","monthly","Rokycany",0,"F","NA","NA","NA","NA","NA",6400,10,119,23673,600
"111",128,"1993-02-19","monthly","Benesov",0,"F","NA","NA","NA","NA","NA",38879,15,208,86413,300
"112",129,"1997-10-01","monthly","Ostrava - mesto",0,"F","NA","NA","NA","NA","NA",7200,15,31,29052,600
"113",130,"1997-02-12","monthly","Brno - mesto",0,"F","NA","NA","NA","NA","NA",7350,15,42,35067,300
"114",131,"1995-06-13","monthly","Usti nad Orlici",1,"F","NA","NA","NA","NA","NA",33000,15,90,48212,5496
"115",134,"1997-12-10","monthly","Chomutov",0,"F","NA","NA","NA","NA","NA",14446,15,27,47697,300
"116",135,"1993-06-15","monthly","Prerov",0,"F","NA","NA","NA","NA","NA",24700,15,161,75906,700
"117",136,"1996-05-14","monthly","Ostrava - mesto",0,"F","NA","NA","NA","NA","NA",8100,15,60,32170,600
"118",137,"1996-07-19","monthly","Karvina",0,"F","NA","NA","NA","NA","NA",36000,15,59,81958,900
"119",138,"1995-09-19","monthly","Domazlice",0,"F","NA","NA","NA","NA","NA",11200,100,15,21200,1100
"120",140,"1996-06-25","monthly","Karlovy Vary",1,"F","NA","NA","NA","NA","NA",48742,15,42,84824,300
"121",141,"1996-03-06","monthly","Louny",0,"F","NA","NA","NA","NA","NA",45248,15,69,89665,900
"122",142,"1993-02-15","monthly","Trutnov",0,"F","NA","NA","NA","NA","NA",6200,15,137,30167,900
"123",143,"1996-11-27","monthly","Tabor",0,"F","NA","NA","NA","NA","NA",4924,15,47,27564,500
"124",145,"1996-01-03","monthly","Tachov",1,"F","NA","NA","NA","NA","NA",28900,15,94,68969,1100
"125",146,"1993-09-02","monthly","Kladno",0,"F","NA","NA","NA","NA","NA",11050,15,129,38814,500
"126",148,"1993-06-21","monthly","Mlada Boleslav",1,"F","NA","NA","NA","NA","NA",3468,3,129,27206,500
"127",149,"1997-11-16","monthly","Hradec Kralove",0,"F","NA","NA","NA","NA","NA",21200,1,44,58484,300
"128",150,"1995-03-16","monthly","Opava",0,"F","NA","NA","NA","NA","NA",46079,6,130,98752,1900
"129",151,"1993-09-06","monthly","Sumperk",0,"F","NA","NA","NA","NA","NA",10700,15,147,34425,1000
"130",152,"1996-04-12","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",9900,15,76,35746,1100
"131",153,"1993-09-19","monthly","Vsetin",1,"F","NA","NA","NA","NA","NA",20595,15,129,53039,400
"132",154,"1994-06-21","monthly","Nachod",0,"F","NA","NA","NA","NA","NA",21114,15,111,96137,900
"133",155,"1995-11-07","monthly","Jihlava",0,"F","NA","NA","NA","NA","NA",14560,12,95,38532,300
"134",156,"1997-10-22","monthly","Zlin",0,"F","NA","NA","NA","NA","NA",8430,3,25,21707,1000
"135",157,"1997-03-28","monthly","Praha - zapad",0,"F","NA","NA","NA","NA","NA",6918,15,40,39576,200
"136",158,"1995-03-15","monthly","Litomerice",1,"F","NA","NA","NA","NA","NA",36822,15,91,83034,700
"137",159,"1997-02-11","monthly","Karvina",0,"F","NA","NA","NA","NA","NA",33081,15,46,103034,800
"138",160,"1993-09-04","monthly","Cheb",0,"F","NA","NA","NA","NA","NA",57100,15,152,113217,400
"139",161,"1994-07-04","monthly","Plzen - sever",0,"F","NA","NA","NA","NA","NA",14450,15,109,29469,900
"140",162,"1993-08-25","monthly","Prostejov",0,"F","NA","NA","NA","NA","NA",13900,15,125,40827,200
"141",163,"1993-01-27","monthly","Sokolov",0,"F","NA","NA","NA","NA","NA",9050,11,141,43752,900
"142",164,"1996-09-13","monthly","Prostejov",0,"F","NA","NA","NA","NA","NA",47058,6,32,67994,200
"143",165,"1993-06-01","monthly","Klatovy",0,"F","NA","NA","NA","NA","NA",14650,15,135,62489,1000
"144",166,"1996-08-20","monthly","Pelhrimov",0,"F","NA","NA","NA","NA","NA",4566,15,53,31842,800
"145",168,"1993-04-27","monthly","Tachov",0,"F","NA","NA","NA","NA","NA",8100,15,133,24794,500
"146",169,"1995-09-28","monthly","Kladno",0,"F","NA","NA","NA","NA","NA",19188,11,82,78256,500
"147",170,"1996-07-02","monthly","Kromeriz",0,"F","NA","NA","NA","NA","NA",25599,15,62,79183,1000
"148",171,"1996-06-08","monthly","Nachod",0,"F","NA","NA","NA","NA","NA",6700,15,63,33192,500
"149",172,"1993-08-30","monthly","Rakovnik",0,"F","NA","NA","NA","NA","NA",46720,7,131,78889,700
"150",173,"1993-11-26","monthly","Zdar nad Sazavou",1,"T","104808","8734","12","expired","FALSE",25970,15,156,87882,500
"151",174,"1996-09-04","monthly","Usti nad Orlici",0,"F","NA","NA","NA","NA","NA",3400,14,57,21345,900
"152",177,"1997-09-26","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",29175,15,32,75171,800
"153",178,"1997-09-06","monthly","Kromeriz",0,"F","NA","NA","NA","NA","NA",2981,10,33,18082,1000
"154",181,"1996-06-11","monthly","Tabor",0,"F","NA","NA","NA","NA","NA",16158,15,65,52501,200
"155",182,"1996-08-24","monthly","Pardubice",0,"F","NA","NA","NA","NA","NA",10700,200,6,16900,200
"156",183,"1993-12-12","monthly","Hradec Kralove",0,"F","NA","NA","NA","NA","NA",21963,15,125,63967,200
"157",184,"1996-02-21","monthly","Vsetin",0,"F","NA","NA","NA","NA","NA",29546,15,70,86912,600
"158",185,"1997-07-04","monthly","Ceska Lipa",1,"F","NA","NA","NA","NA","NA",28846,15,37,79865,1000
"159",187,"1993-03-28","monthly","Kolin",0,"F","NA","NA","NA","NA","NA",4200,15,135,26365,200
"160",188,"1993-04-20","monthly","Brno - mesto",0,"F","NA","NA","NA","NA","NA",29120,15,139,100010,700
"161",189,"1997-04-16","monthly","Sumperk",0,"F","NA","NA","NA","NA","NA",31530,15,42,76341,700
"162",190,"1995-03-02","monthly","Ostrava - mesto",0,"F","NA","NA","NA","NA","NA",26334,15,97,69474,500
"163",191,"1997-03-17","monthly","Usti nad Labem",1,"F","NA","NA","NA","NA","NA",66314,15,43,126097,600
"164",192,"1993-01-08","monthly","Brno - venkov",0,"F","NA","NA","NA","NA","NA",13450,15,139,39284,300
"165",193,"1996-12-22","monthly","Jesenik",0,"F","NA","NA","NA","NA","NA",15999,15,52,39963,300
"166",194,"1996-08-01","monthly","Chrudim",0,"F","NA","NA","NA","NA","NA",11000,15,72,38894,400
"167",195,"1997-02-27","monthly","Karvina",0,"F","NA","NA","NA","NA","NA",21924,7,46,56940,600
"168",196,"1993-11-14","monthly","Kladno",0,"F","NA","NA","NA","NA","NA",29700,15,137,86238,400
"169",197,"1993-02-25","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",43040,15,144,76344,800
"170",198,"1993-10-25","monthly","Karvina",1,"F","NA","NA","NA","NA","NA",12450,15,121,30570,900
"171",199,"1996-10-26","monthly","Karvina",1,"F","NA","NA","NA","NA","NA",2977,15,49,29612,700
"172",200,"1994-07-03","monthly","Pelhrimov",0,"F","NA","NA","NA","NA","NA",47200,15,114,125341,900
"173",201,"1994-11-02","monthly","Vyskov",0,"F","NA","NA","NA","NA","NA",23752,15,104,62199,600
"174",204,"1996-01-13","monthly","Bruntal",0,"F","NA","NA","NA","NA","NA",2926,15,67,27125,600
"175",205,"1997-10-08","monthly","Hl.m. Praha",1,"F","NA","NA","NA","NA","NA",10400,15,37,45527,1000
"176",206,"1995-04-08","monthly","Trebic",0,"F","NA","NA","NA","NA","NA",10600,15,119,42635,1100
"177",207,"1993-07-25","monthly","Benesov",0,"F","NA","NA","NA","NA","NA",9300,10,155,36471,900
"178",208,"1996-03-27","monthly","Brno - mesto",0,"F","NA","NA","NA","NA","NA",22494,12,71,61131,700
"179",209,"1996-11-24","monthly","Litomerice",0,"F","NA","NA","NA","NA","NA",12200,15,65,45817,900
"180",210,"1996-03-17","monthly","Rychnov nad Kneznou",0,"F","NA","NA","NA","NA","NA",25120,15,69,56027,1000
"181",211,"1997-07-19","monthly","Plzen - sever",1,"F","NA","NA","NA","NA","NA",59600,15,46,151101,800
"182",213,"1995-08-29","monthly","Opava",0,"F","NA","NA","NA","NA","NA",36408,10,81,87659,1000
"183",214,"1997-03-09","monthly","Domazlice",0,"F","NA","NA","NA","NA","NA",3146,15,39,17518,500
"184",215,"1997-11-25","monthly","Tachov",0,"F","NA","NA","NA","NA","NA",4590,15,23,19113,1000
"185",216,"1994-05-16","monthly","Louny",1,"F","NA","NA","NA","NA","NA",8600,15,108,36351,500
"186",217,"1995-01-20","monthly","Vsetin",1,"F","NA","NA","NA","NA","NA",19700,15,97,48581,800
"187",218,"1996-02-06","monthly","Frydek - Mistek",0,"F","NA","NA","NA","NA","NA",59800,0,104,146909,-2172
"188",219,"1995-09-06","monthly","Plzen - sever",0,"F","NA","NA","NA","NA","NA",26649,15,80,81085,500
"189",220,"1993-04-09","monthly","Olomouc",0,"F","NA","NA","NA","NA","NA",7850,15,133,36356,400
"190",221,"1996-10-30","monthly","Prachatice",1,"F","NA","NA","NA","NA","NA",32151,7,54,69998,300
"191",222,"1993-03-15","monthly","Litomerice",0,"F","NA","NA","NA","NA","NA",51614,15,140,106492,500
"192",223,"1995-06-13","monthly","Most",0,"F","NA","NA","NA","NA","NA",46867,15,64,76631,800
"193",224,"1996-10-27","monthly","Cesky Krumlov",0,"F","NA","NA","NA","NA","NA",9350,15,50,28997,1100
"194",225,"1993-07-28","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",27520,2,179,92940,1000
"195",226,"1997-02-23","monthly","Karvina",0,"T","109344","9112","12","current","FALSE",28588,15,55,80433,1000
"196",227,"1995-03-28","monthly","Plzen - jih",0,"F","NA","NA","NA","NA","NA",67038,15,91,119200,700
"197",228,"1993-09-28","monthly","Kolin",0,"F","NA","NA","NA","NA","NA",53500,12,129,81057,800
"198",229,"1997-06-07","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",5492,15,39,32493,1100
"199",230,"1996-02-26","monthly","Hl.m. Praha",1,"F","NA","NA","NA","NA","NA",26240,14,70,66172,600
"200",231,"1995-04-03","monthly","Domazlice",1,"F","NA","NA","NA","NA","NA",3110,11,91,21913,900
"201",232,"1997-11-29","monthly","Jicin",1,"F","NA","NA","NA","NA","NA",46720,12,28,84657,700
"202",234,"1993-07-15","monthly","Opava",0,"F","NA","NA","NA","NA","NA",11000,15,127,29550,500
"203",235,"1993-10-06","monthly","Usti nad Labem",0,"F","NA","NA","NA","NA","NA",5070,13,127,30633,1000
"204",236,"1996-03-16","monthly","Olomouc",0,"F","NA","NA","NA","NA","NA",12800,300,11,24700,900
"205",237,"1994-03-25","monthly","Svitavy",0,"F","NA","NA","NA","NA","NA",6200,2,111,19487,900
"206",238,"1993-08-15","monthly","Kutna Hora",0,"F","NA","NA","NA","NA","NA",3351,15,125,21972,500
"207",240,"1997-04-28","monthly","Olomouc",1,"F","NA","NA","NA","NA","NA",33858,13,42,67915,300
"208",241,"1996-09-29","monthly","Cesky Krumlov",0,"F","NA","NA","NA","NA","NA",10300,6,69,41009,500
"209",242,"1996-08-29","monthly","Jesenik",0,"F","NA","NA","NA","NA","NA",47520,11,58,72333,500
"210",244,"1993-02-08","monthly","Karlovy Vary",1,"F","NA","NA","NA","NA","NA",10100,15,175,62976,800
"211",245,"1993-11-25","monthly","Znojmo",1,"F","NA","NA","NA","NA","NA",62800,0,148,135093,-1211
"212",246,"1997-12-20","monthly","Znojmo",0,"F","NA","NA","NA","NA","NA",7500,15,23,19310,700
"213",248,"1995-04-02","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",37274,15,91,74703,700
"214",249,"1996-12-03","monthly","Plzen - sever",1,"F","NA","NA","NA","NA","NA",26390,15,52,64867,600
"215",250,"1997-05-10","monthly","Breclav",1,"F","NA","NA","NA","NA","NA",15200,15,46,52311,500
"216",251,"1996-04-06","monthly","Ostrava - mesto",0,"F","NA","NA","NA","NA","NA",13600,15,74,61297,900
"217",252,"1996-12-26","monthly","Prachatice",0,"F","NA","NA","NA","NA","NA",6600,15,45,52630,1000
"218",253,"1995-12-05","monthly","Nachod",0,"F","NA","NA","NA","NA","NA",47680,2,75,106815,-1213
"219",255,"1996-11-03","monthly","Frydek - Mistek",0,"F","NA","NA","NA","NA","NA",57250,15,53,101534,900
"220",256,"1995-05-14","monthly","Litomerice",1,"F","NA","NA","NA","NA","NA",34200,15,87,76527,1100
"221",257,"1995-11-05","monthly","Praha - zapad",0,"F","NA","NA","NA","NA","NA",64500,15,83,136264,900
"222",258,"1997-07-09","monthly","Zlin",0,"F","NA","NA","NA","NA","NA",6177,15,37,38349,900
"223",259,"1993-10-28","monthly","Benesov",0,"F","NA","NA","NA","NA","NA",14650,15,122,37228,600
"224",260,"1995-10-14","monthly","Karlovy Vary",0,"F","NA","NA","NA","NA","NA",19200,15,92,56754,600
"225",261,"1996-10-07","monthly","Brno - mesto",0,"F","NA","NA","NA","NA","NA",9800,11,57,26402,200
"226",262,"1996-01-27","monthly","Prerov",0,"F","NA","NA","NA","NA","NA",9800,200,11,23400,200
"227",264,"1996-02-09","monthly","Cesky Krumlov",0,"F","NA","NA","NA","NA","NA",19520,14,92,44212,900
"228",265,"1996-07-05","monthly","Prachatice",0,"F","NA","NA","NA","NA","NA",8300,15,61,28571,600
"229",266,"1994-05-11","monthly","Pardubice",0,"F","NA","NA","NA","NA","NA",74628,15,114,137653,400
"230",267,"1995-04-26","monthly","Louny",0,"F","NA","NA","NA","NA","NA",4847,15,85,30016,500
"231",268,"1996-05-29","monthly","Beroun",1,"F","NA","NA","NA","NA","NA",49695,15,65,124186,500
"232",269,"1996-08-30","monthly","Beroun",0,"F","NA","NA","NA","NA","NA",12000,4,72,43387,700
"233",270,"1995-01-23","monthly","Plzen - jih",0,"F","NA","NA","NA","NA","NA",36960,15,96,116900,1100
"234",271,"1996-08-13","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",12500,15,59,62743,400
"235",272,"1996-10-23","monthly","Praha - zapad",0,"F","NA","NA","NA","NA","NA",34700,15,53,57855,1100
"236",274,"1993-08-20","monthly","Sumperk",0,"F","NA","NA","NA","NA","NA",30597,15,132,68094,300
"237",275,"1996-01-02","monthly","Rokycany",0,"F","NA","NA","NA","NA","NA",3390,12,73,22668,800
"238",276,"1997-12-08","monthly","Louny",0,"T","160920","4470","36","current","FALSE",40234,15,27,74906,700
"239",278,"1996-04-08","monthly","Opava",1,"F","NA","NA","NA","NA","NA",31124,15,67,97478,700
"240",279,"1993-04-14","monthly","Most",0,"F","NA","NA","NA","NA","NA",3300,15,133,32821,400
"241",280,"1993-01-23","monthly","Klatovy",1,"F","NA","NA","NA","NA","NA",18065,15,159,69718,300
"242",281,"1996-10-27","monthly","Hl.m. Praha",0,"F","NA","NA","NA","NA","NA",36320,13,70,72297,900
"243",282,"1997-05-12","monthly","Jesenik",0,"F","NA","NA","NA","NA","NA",30992,15,39,69350,200
"244",283,"1996-04-18","monthly","Chrudim",0,"F","NA","NA","NA","NA","NA",6950,4,61,30907,800
"245",284,"1997-07-18","monthly","Brno - mesto",0,"F","NA","NA","NA","NA","NA",29128,15,39,66377,900
